ID_run	Type
SRR1791700	M. bovis
SRR1791701	M. bovis
SRR1791702	M. bovis
SRR1791703	M. bovis
SRR1791704	M. bovis
SRR1791706	M. bovis
SRR1791707	M. bovis
SRR1791708	M. bovis
SRR1791709	M. bovis
SRR1791710	M. bovis
SRR1791714	M. bovis
SRR1791716	M. bovis
SRR1791717	M. bovis
SRR1791720	M. bovis
SRR1791722	M. bovis
SRR1791723	M. bovis
SRR1791724	M. bovis
SRR1791725	M. bovis
SRR1791726	M. bovis
SRR1791727	M. bovis
SRR1791728	M. bovis
SRR1791734	M. bovis
SRR1791735	M. bovis
SRR1791736	M. bovis
SRR1791737	M. bovis
SRR1791739	M. bovis
SRR1791740	M. bovis
SRR1791742	M. bovis
SRR1791743	M. bovis
SRR1791746	M. bovis
SRR1791752	M. bovis
SRR1791754	M. bovis
SRR1791755	M. bovis
SRR1791756	M. bovis
SRR1791758	M. bovis
SRR1791760	M. bovis
SRR1791761	M. bovis
SRR1791762	M. bovis
SRR1791763	M. bovis
SRR1791764	M. bovis
SRR1791766	M. bovis
SRR1791769	M. bovis
SRR1791770	M. bovis
SRR1791773	M. bovis
SRR1791774	M. bovis
SRR1791777	M. bovis
SRR1791778	M. bovis
SRR1791779	M. bovis
SRR1791780	M. bovis
SRR1791781	M. bovis
SRR1791784	M. bovis
SRR1791785	M. bovis
SRR1791788	M. bovis
SRR1791790	M. bovis
SRR1791791	M. bovis
SRR1791792	M. bovis
SRR1791793	M. bovis
SRR1791795	M. bovis
SRR1791796	M. bovis
SRR1791797	M. bovis
SRR1791798	M. bovis
SRR1791799	M. bovis
SRR1791801	M. bovis
SRR1791802	M. bovis
SRR1791804	M. bovis
SRR1791806	M. bovis
SRR1791807	M. bovis
SRR1791809	M. bovis
SRR1791811	M. bovis
SRR1791812	M. bovis
SRR1791816	M. bovis
SRR1791820	M. bovis
SRR1791821	M. bovis
SRR1791822	M. bovis
SRR1791823	M. bovis
SRR1791826	M. bovis
SRR1791830	M. bovis
SRR1791831	M. bovis
SRR1791838	M. bovis
SRR1791839	M. bovis
SRR1791842	M. bovis
SRR1791843	M. bovis
SRR1791847	M. bovis
SRR1791857	M. bovis
SRR1791858	M. bovis
SRR1791859	M. bovis
SRR1791861	M. bovis
SRR1791864	M. bovis
SRR1791871	M. bovis
SRR1791872	M. bovis
SRR1791878	M. bovis
SRR1791881	M. bovis
SRR1791883	M. bovis
SRR1791886	M. bovis
SRR1791890	M. bovis
SRR1791891	M. bovis
SRR1791892	M. bovis
SRR1791893	M. bovis
SRR1791895	M. bovis
SRR1791896	M. bovis
SRR1791900	M. bovis
SRR1791901	M. bovis
SRR1791903	M. bovis
SRR1791905	M. bovis
SRR1791906	M. bovis
SRR1791907	M. bovis
SRR1791911	M. bovis
SRR1791913	M. bovis
SRR1791915	M. bovis
SRR1791916	M. bovis
SRR1791917	M. bovis
SRR1791923	M. bovis
SRR1791924	M. bovis
SRR1791926	M. bovis
SRR1791927	M. bovis
SRR1791928	M. bovis
SRR1791933	M. bovis
SRR1791935	M. bovis
SRR1791937	M. bovis
SRR1791939	M. bovis
SRR1791943	M. bovis
SRR1791944	M. bovis
SRR1791945	M. bovis
SRR1791949	M. bovis
SRR1791950	M. bovis
SRR1791952	M. bovis
SRR1791953	M. bovis
SRR1791955	M. bovis
SRR1791959	M. bovis
SRR1791960	M. bovis
SRR1791961	M. bovis
SRR1791963	M. bovis
SRR1791969	M. bovis
SRR1791970	M. bovis
SRR1791973	M. bovis
SRR1791974	M. bovis
SRR1791976	M. bovis
SRR1791977	M. bovis
SRR1791990	M. bovis
SRR1791993	M. bovis
SRR1791998	M. bovis
SRR1792001	M. bovis
SRR1792002	M. bovis
SRR1792003	M. bovis
SRR1792005	M. bovis
SRR1792012	M. bovis
SRR1792015	M. bovis
SRR1792020	M. bovis
SRR1792027	M. bovis
SRR1792028	M. bovis
SRR1792029	M. bovis
SRR1792030	M. bovis
SRR1792034	M. bovis
SRR1792035	M. bovis
SRR1792036	M. bovis
SRR1792037	M. bovis
SRR1792040	M. bovis
SRR1792041	M. bovis
SRR1792046	M. bovis
SRR1792047	M. bovis
SRR1792050	M. bovis
SRR1792051	M. bovis
SRR1792064	M. bovis
SRR1792066	M. bovis
SRR1792068	M. bovis
SRR1792071	M. bovis
SRR1792074	M. bovis
SRR1792078	M. bovis
SRR1792099	M. bovis
SRR1792101	M. bovis
SRR1792117	M. bovis
SRR1792122	M. bovis
SRR1792125	M. bovis
SRR1792155	M. bovis
SRR1792158	M. bovis
SRR1792161	M. bovis
SRR1792162	M. bovis
SRR1792163	M. bovis
SRR1792169	M. bovis
SRR1792170	M. bovis
SRR1792172	M. bovis
SRR1792173	M. bovis
SRR1792174	M. bovis
SRR1792175	M. bovis
SRR1792193	M. bovis
SRR1792202	M. bovis
SRR1792241	M. bovis
SRR1792243	M. bovis
SRR1792248	M. bovis
SRR1792254	M. bovis
SRR1792259	M. bovis
SRR1792269	M. bovis
SRR1792279	M. bovis
SRR1792280	M. bovis
SRR1792282	M. bovis
SRR1792287	M. bovis
SRR1792288	M. bovis
SRR1792294	M. bovis
SRR1792298	M. bovis
SRR1792307	M. bovis
SRR1792308	M. bovis
SRR1792309	M. bovis
SRR1792310	M. bovis
SRR1792311	M. bovis
SRR1792313	M. bovis
SRR1792319	M. bovis
SRR1792323	M. bovis
SRR1792325	M. bovis
SRR1792328	M. bovis
SRR1792329	M. bovis
SRR1792338	M. bovis
SRR1792345	M. bovis
SRR1792346	M. bovis
SRR1792347	M. bovis
SRR1792349	M. bovis
SRR1792350	M. bovis
SRR1792354	M. bovis
SRR1792356	M. bovis
SRR1792357	M. bovis
SRR1792359	M. bovis
SRR1792363	M. bovis
SRR1792387	M. bovis
SRR1792409	M. bovis
SRR1792421	M. bovis
SRR1792422	M. bovis
SRR1792435	M. bovis
SRR1792438	M. bovis
SRR1792441	M. bovis
SRR1792443	M. bovis
SRR1792446	M. bovis
SRR1792447	M. bovis
SRR1792449	M. bovis
SRR1792450	M. bovis
SRR1792453	M. bovis
SRR1792473	M. bovis
SRR1792474	M. bovis
SRR1792477	M. bovis
SRR1792485	M. bovis
SRR1792487	M. bovis
SRR1792488	M. bovis
SRR1792489	M. bovis
SRR1792490	M. bovis
SRR1792491	M. bovis
SRR1792492	M. bovis
SRR1792493	M. bovis
SRR1792494	M. bovis
SRR1792501	M. bovis
SRR1792502	M. bovis
SRR1792504	M. bovis
SRR3135067	M. bovis
SRR3135070	M. bovis
SRR3135072	M. bovis
SRR5817673	M. bovis
SRR5817683	M. bovis
SRR5817698	M. bovis
SRR5817718	M. bovis
SRR7240014	M. bovis
SRR7240016	M. bovis
SRR7240019	M. bovis
SRR7240020	M. bovis
SRR7240021	M. bovis
SRR7240031	M. bovis
SRR7240032	M. bovis
SRR7240038	M. bovis
SRR7240040	M. bovis
SRR7240045	M. bovis
SRR7240046	M. bovis
SRR7240047	M. bovis
SRR7240052	M. bovis
SRR7240081	M. bovis
SRR7240084	M. bovis
SRR7240104	M. bovis
SRR7240108	M. bovis
SRR7240109	M. bovis
SRR7240113	M. bovis
SRR7240120	M. bovis
SRR7240123	M. bovis
SRR7240144	M. bovis
SRR7240155	M. bovis
SRR7240156	M. bovis
SRR7240157	M. bovis
SRR7240158	M. bovis
SRR7240160	M. bovis
SRR7240161	M. bovis
SRR7240163	M. bovis
SRR7240164	M. bovis
SRR7240165	M. bovis
SRR7240170	M. bovis
SRR7240177	M. bovis
SRR7240179	M. bovis
SRR7240180	M. bovis
SRR7240181	M. bovis
SRR7240184	M. bovis
SRR7240187	M. bovis
SRR7240192	M. bovis
SRR7240195	M. bovis
SRR7240197	M. bovis
SRR7240200	M. bovis
SRR7240202	M. bovis
SRR7240203	M. bovis
SRR7240204	M. bovis
SRR7240205	M. bovis
SRR7240207	M. bovis
SRR7240211	M. bovis
SRR7240212	M. bovis
SRR7240213	M. bovis
SRR7240215	M. bovis
SRR7240221	M. bovis
SRR7240233	M. bovis
SRR7240234	M. bovis
SRR7240237	M. bovis
SRR7240240	M. bovis
SRR7240259	M. bovis
SRR7240282	M. bovis
SRR7240283	M. bovis
SRR7240286	M. bovis
SRR7240289	M. bovis
SRR7240296	M. bovis
SRR7240297	M. bovis
SRR7240300	M. bovis
SRR7240301	M. bovis
SRR7240302	M. bovis
SRR7240305	M. bovis
SRR7240318	M. bovis
SRR7240319	M. bovis
SRR7240320	M. bovis
SRR7240321	M. bovis
SRR7240322	M. bovis
SRR7240323	M. bovis
SRR7240324	M. bovis
SRR7240327	M. bovis
SRR7240328	M. bovis
SRR7240341	M. bovis
SRR7240345	M. bovis
SRR7240346	M. bovis
SRR7240349	M. bovis
SRR7240351	M. bovis
SRR7240352	M. bovis
SRR7240378	M. bovis
SRR7240385	M. bovis
SRR7240386	M. bovis
SRR7240387	M. bovis
SRR7240388	M. bovis
SRR7240389	M. bovis
SRR7240393	M. bovis
SRR7240396	M. bovis
SRR7240397	M. bovis
SRR7240398	M. bovis
SRR7240400	M. bovis
SRR7240402	M. bovis
SRR7240421	M. bovis
SRR7240435	M. bovis
SRR7240440	M. bovis
SRR7240445	M. bovis
SRR7240447	M. bovis
SRR7240450	M. bovis
SRR7240453	M. bovis
SRR7240455	M. bovis
SRR7240457	M. bovis
SRR7240458	M. bovis
SRR7240478	M. bovis
SRR7240480	M. bovis
SRR7240488	M. bovis
SRR7240489	M. bovis
SRR7240490	M. bovis
SRR7240498	M. bovis
SRR7240501	M. bovis
SRR7240502	M. bovis
SRR7240504	M. bovis
SRR7240505	M. bovis
SRR7240518	M. bovis
SRR7240526	M. bovis
SRR7240530	M. bovis
SRR7240531	M. bovis
SRR7240533	M. bovis
SRR7240534	M. bovis
SRR7240535	M. bovis
SRR7240539	M. bovis
SRR7240540	M. bovis
SRR7240541	M. bovis
SRR4117155;SRR4199188	M. bovis
SRR5196685	M. bovis
SRR7131117	M. bovis
SRR7131025	M. bovis
SRR7236109	M. bovis
SRR7236110	M. bovis
SRR7236113	M. bovis
SRR7236115	M. bovis
SRR7236117	M. bovis
SRR7236118	M. bovis
SRR7236119	M. bovis
SRR7236120	M. bovis
SRR7236122	M. bovis
SRR7236123	M. bovis
SRR7236126	M. bovis
SRR7236128	M. bovis
SRR7236130	M. bovis
SRR7236131	M. bovis
SRR7236132	M. bovis
SRR7236136	M. bovis
SRR7236138	M. bovis
SRR7236139	M. bovis
SRR7236140	M. bovis
SRR7236141	M. bovis
SRR7236142	M. bovis
SRR7236144	M. bovis
SRR7236145	M. bovis
SRR7236146	M. bovis
SRR7236148	M. bovis
SRR7236152	M. bovis
SRR7236154	M. bovis
SRR7236155	M. bovis
SRR7236156	M. bovis
SRR7236160	M. bovis
SRR7236161	M. bovis
SRR7236162	M. bovis
SRR7236164	M. bovis
SRR7236166	M. bovis
SRR7236169	M. bovis
SRR7236170	M. bovis
SRR7236171	M. bovis
SRR7236173	M. bovis
SRR7236174	M. bovis
SRR7236175	M. bovis
SRR7236176	M. bovis
SRR7236181	M. bovis
SRR7236183	M. bovis
SRR7236189	M. bovis
SRR7236190	M. bovis
SRR7236191	M. bovis
SRR7236192	M. bovis
SRR7236197	M. bovis
SRR7236198	M. bovis
SRR7236199	M. bovis
SRR7236200	M. bovis
SRR7236202	M. bovis
SRR7236222	M. bovis
SRR7236225	M. bovis
SRR7236227	M. bovis
SRR7236228	M. bovis
SRR7236230	M. bovis
SRR7236231	M. bovis
SRR7236234	M. bovis
SRR7236238	M. bovis
SRR7236249	M. bovis
SRR7236252	M. bovis
SRR7236258	M. bovis
SRR7236259	M. bovis
SRR7236260	M. bovis
SRR7236263	M. bovis
SRR7236264	M. bovis
SRR7236265	M. bovis
SRR7236272	M. bovis
SRR7236275	M. bovis
SRR7236277	M. bovis
SRR7236288	M. bovis
SRR7236289	M. bovis
SRR7236292	M. bovis
SRR7236293	M. bovis
SRR7236295	M. bovis
SRR7236296	M. bovis
SRR7236298	M. bovis
SRR7236303	M. bovis
SRR7236312	M. bovis
SRR7236313	M. bovis
SRR7236314	M. bovis
SRR7236317	M. bovis
SRR7236332	M. bovis
SRR7236333	M. bovis
SRR7236334	M. bovis
SRR7236337	M. bovis
SRR7236340	M. bovis
SRR7236342	M. bovis
SRR7236343	M. bovis
SRR7236345	M. bovis
SRR7236346	M. bovis
SRR7236348	M. bovis
SRR7236350	M. bovis
SRR7236351	M. bovis
SRR7236354	M. bovis
SRR7236364	M. bovis
SRR7236365	M. bovis
SRR7236367	M. bovis
SRR7236368	M. bovis
SRR7236373	M. bovis
SRR7236375	M. bovis
SRR7236376	M. bovis
SRR7236378	M. bovis
SRR7236380	M. bovis
SRR7236382	M. bovis
SRR7236383	M. bovis
SRR7236384	M. bovis
SRR7236385	M. bovis
SRR7236387	M. bovis
SRR7236391	M. bovis
SRR7236405	M. bovis
SRR7236406	M. bovis
SRR7236411	M. bovis
SRR7236413	M. bovis
SRR7236414	M. bovis
SRR7236415	M. bovis
SRR7236417	M. bovis
SRR7236418	M. bovis
SRR7236419	M. bovis
SRR7236421	M. bovis
SRR7236426	M. bovis
SRR8065069	M. bovis
SRR8065070	M. bovis
SRR8065071	M. bovis
SRR8065073	M. bovis
SRR8065074	M. bovis
SRR8065078	M. bovis
SRR8065080	M. bovis
SRR8065082	M. bovis
SRR8065085	M. bovis
SRR8065087	M. bovis
SRR8064853	M. bovis
SRR8064855	M. bovis
SRR8064856	M. bovis
SRR8064857	M. bovis
SRR8064858	M. bovis
SRR8064859	M. bovis
SRR8063651	M. bovis
SRR8063652	M. bovis
SRR8063655	M. bovis
SRR8063656	M. bovis
SRR8063660	M. bovis
SRR7617357	M. bovis
SRR7617358	M. bovis
SRR7617359	M. bovis
SRR7617360	M. bovis
SRR7617361	M. bovis
SRR7617362	M. bovis
SRR7617364	M. bovis
SRR7617365	M. bovis
SRR7617371	M. bovis
SRR7617373	M. bovis
SRR7617377	M. bovis
SRR7617383	M. bovis
SRR7617384	M. bovis
SRR7617386	M. bovis
SRR7617387	M. bovis
SRR7617388	M. bovis
SRR7617389	M. bovis
SRR7617395	M. bovis
SRR7617396	M. bovis
SRR7617398	M. bovis
SRR7617409	M. bovis
SRR7617411	M. bovis
SRR7617414	M. bovis
SRR7617415	M. bovis
SRR7617416	M. bovis
SRR7617421	M. bovis
SRR7617424	M. bovis
SRR7617428	M. bovis
SRR7617429	M. bovis
SRR7617433	M. bovis
SRR7617436	M. bovis
SRR7617439	M. bovis
SRR7617441	M. bovis
SRR7617442	M. bovis
SRR7617444	M. bovis
SRR7617450	M. bovis
SRR7617454	M. bovis
SRR7617456	M. bovis
SRR7617457	M. bovis
SRR7617461	M. bovis
SRR7617462	M. bovis
SRR7617463	M. bovis
SRR7617466	M. bovis
SRR7617467	M. bovis
SRR7617468	M. bovis
SRR7617470	M. bovis
SRR7617486	M. bovis
SRR7617487	M. bovis
SRR7617488	M. bovis
SRR7617491	M. bovis
SRR7617494	M. bovis
SRR7617497	M. bovis
SRR7617499	M. bovis
SRR7617505	M. bovis
SRR7617507	M. bovis
SRR7617508	M. bovis
SRR7617515	M. bovis
SRR7617532	M. bovis
SRR7617533	M. bovis
SRR7617535	M. bovis
SRR7617536	M. bovis
SRR7617544	M. bovis
SRR7617551	M. bovis
SRR7617553	M. bovis
SRR7617563	M. bovis
SRR7617566	M. bovis
SRR7617567	M. bovis
SRR7617572	M. bovis
SRR7617577	M. bovis
SRR7617579	M. bovis
SRR7617580	M. bovis
SRR7617583	M. bovis
SRR7617585	M. bovis
SRR7617587	M. bovis
SRR7617588	M. bovis
SRR7617599	M. bovis
SRR7617602	M. bovis
SRR7617609	M. bovis
SRR7617625	M. bovis
SRR7617629	M. bovis
SRR7617636	M. bovis
SRR7617637	M. bovis
SRR7617638	M. bovis
SRR7617642	M. bovis
SRR7617643	M. bovis
SRR7617648	M. bovis
SRR7617658	M. bovis
SRR7617666	M. bovis
SRR7617669	M. bovis
SRR7617672	M. bovis
SRR7617681	M. bovis
SRR7617686	M. bovis
SRR7617698	M. bovis
SRR7617710	M. bovis
SRR7617712	M. bovis
SRR7617720	M. bovis
SRR7617727	M. bovis
SRR7617729	M. bovis
SRR7617733	M. bovis
SRR7617736	M. bovis
SRR7617750	M. bovis
SRR7617751	M. bovis
SRR7617763	M. bovis
SRR7617764	M. bovis
SRR7617780	M. bovis
SRR7617781	M. bovis
SRR7617783	M. bovis
SRR7617784	M. bovis
SRR7617789	M. bovis
SRR7617791	M. bovis
SRR7617811	M. bovis
SRR7617812	M. bovis
SRR7617814	M. bovis
SRR7617836	M. bovis
SRR7617837	M. bovis
SRR7617840	M. bovis
SRR7617842	M. bovis
SRR7617850	M. bovis
SRR7617854	M. bovis
SRR7617858	M. bovis
SRR3085259	M. bovis
SRR8073639	M. bovis
SRR8073679	M. bovis
ERR2851361	M. bovis
ERR3445485	M. bovis
ERR3445486	M. bovis
ERR3445488	M. bovis
ERR3445489	M. bovis
ERR3445490	M. bovis
SRR10993933	M. bovis
SRR10993934	M. bovis
SRR10993936	M. bovis
SRR10993942	M. bovis
SRR10993943	M. bovis
SRR10993944	M. bovis
SRR10993946	M. bovis
SRR10993947	M. bovis
SRR10993948	M. bovis
ERR3825346	M. bovis
ERR2693249	M. bovis
ERR3283007	M. bovis
ERR3439227	M. bovis
ERR3439443	M. bovis
ERR3439528	M. bovis
ERR3468483	M. bovis
ERR3468491	M. bovis
ERR3468532	M. bovis
ERR3468538	M. bovis
ERR3468689	M. bovis
ERR3797003	M. bovis
SRR10482932	M. bovis
SRR10482933	M. bovis
SRR10482937	M. bovis
SRR10482941	M. bovis
SRR10482946	M. bovis
SRR10482952	M. bovis
SRR10482958	M. bovis
SRR10482960	M. bovis
SRR10482965	M. bovis
SRR10482968	M. bovis
SRR10482974	M. bovis
SRR10482975	M. bovis
ERR3587501	M. bovis
SRR8599998	M. bovis
SRR8600008	M. bovis
SRR8600015	M. bovis
SRR8600038	M. bovis
SRR8600053	M. bovis
SRR8600064	M. bovis
SRR8600078	M. bovis
SRR8600104	M. bovis
SRR8600110	M. bovis
SRR8600134	M. bovis
SRR8600138	M. bovis
SRR8600143	M. bovis
SRR8600178	M. bovis
SRR8600245	M. bovis
SRR8600253	M. bovis
SRR9850824	M. bovis
SRR7851300	M. bovis
